"Account ID","Account Name","Website Domain Text"
"0013j00002bADai","Shiji Group","shijigroup.com"
"0013j00003ALmL5","GLOBAL LEGAL ENTITY IDENTIFIER FOUND","gleif.org"
"001F0000017didL","Zound Industries International AB","zoundindustries.com"
"0013j000037iWFB","Encord","encord.com"
"001VK00000AcUSM","CR Bard","crbard.com"
"0012A00002TYauY","Coop Tagungszentrum","coop.ch"
"001F000000vYZVV","Molex","molex.com"
"001VK00000W2LSX","Recurrent Energy","recurrentenergy.com"
"0013j000031vbff","Clear.co","clear.co"
"001VK00000Tl5XD","Radisson","radissonhotelgroup.com"
"001F000000sfAKd","Helly Hansen","hellyhansen.com"
"001F0000010dTT3","ConocoPhillips","conocophillips.com"
"001VK00000fcUnK","City Hive, Inc.","cityhive.net"
"001F000000g7Dhx","Rakuten Kobo Inc.","kobo.com"
"0013j000034t1P0","A24 Films","a24films.com"
"001VK00000dhUXp","Hornet","hellohornet.com"
"001VK00000i76XB","ObjectiveHealth","objective.health"
"001F000001qEfR0","Deliveroo","deliveroo.co.uk"
"001F0000010dTar","Ingles Markets, Incorporated","ingles-markets.com"
"001VK000003st8W","Attorney General Minnesota","ag.state.mn.us"
"0012A00002TYL9G","Proxy","proxy.com"
"0012A00002TVzzX","Systematic","systematic.com"
"001F000000tYUAP","Cradlepoint","cradlepoint.com"
"0012A00002Bn0oJ","Wiley","wiley.com"
"001F000000jUeeX","Atlassian","atlassian.com"
"0012A00002VAGCY","Kinsta","kinsta.com"
"0013j00003ALmOu","AUTOKLAVER & DESINFEKTORER MEDICAL","ad-medical.se"
"0013j00003AMuWM","Frankenmuth Insurance","fmins.com"
"001VK000007lcHV","Westpack","westpack.com"
"0013j00003ANWzb","Lynk & Co","lynkco.com"
"0012A00002YJuip","Einride","einride.tech"
"0013j00002yaG3r","Nium","nium.com"
"0013j00002ybnMB","Bitso","bitso.com"
"0013j00003ANOlK","City of Avondale Estates","avondaleestates.org"
"001F0000010dSqx","Vectra","vectranetworks.com"
"001F000001qEm11","NIL Ltd.","nil.si"
"001VK00000UxB3B","Mg","mg.ironcladapp.com"
"0012A00001vZXId","Church's (Prada)","church-footwear.com"
"0013j00002ybJ2Z","Twingate","twingate.com"
"0013j000034tcko","OVHcloud","ovhcloud.com"
"001F0000010dTct","Lazard","lazard.com"
"0013j00002mdAZo","Beijer Byggmaterial AB","beijerbygg.se"
"0013j00002mbgz6","Ontario Teachers'? Pension Plan","otpp.com"
"0013j000034t3JV","Freiberuflich","ferrero.com"
"0013j00002bAMgD","Dental Intelligence","dentalintel.com"
"0012A00002Z1b1h","Highmark","highmarkhealth.org"
"001F000001teTxx","Groupe AF","groupeaf.com"
"0012A00002AgWra","EBANX","ebanx.com"
"001VK000007lg8B","Smedbo AB","smedbo.se"
"0013j00003AMRH2","New York City Council","council.nyc.gov"
"001F0000010dToV","Tenet Healthcare","tenethealth.com"
"0012A0000284YTZ","FC Barcelona","fcbarcelona.com"
"0013j00002cTLuI","People Power","peoplepowerco.com"
"0012A000021KESj","Axis Group","axisgroup.com"
"0013j00003ALmLn","JT International","jtidist.com"
"001VK00000VHSxP","AEG","aegworldwide.com"
"001F000001meNaF","happn","happn.com"
"0013j00003GVSPK","Foundever","foundever.com"
"0012A00002Eudzr","Celonis","celonis.com"
"001VK00000VaNKP","KION Group","kiongroup.com"
"001VK00000UDPpt","RISE","fraconferences.com"
"0013j00002mbu1L","New Jersey Performing Arts Center","njpac.org"
"0013j00002cRVmg","Harman International","harmaninternational.com"
"001VK00000gavXT","Invesco EMEA","invesco.eu"
"0013j00002bA5rx","Igloo Products","igloocoolers.com"
"0012A00002Z1cKw","Aspen Dental","aspendental.com"
"001VK00000VNIQb","Arc'teryx Equipment Inc.","arcteryx.com"
"001VK00000YrGfl","Vision Media","visionmedia.com"
"001VK000005ddJZ","Lava Car Rental","lavacarrental.is"
"001F0000010dTJe","Vivint","vivint.com"
"001VK00000QcG3C","OSRAM","osram.us"
"001VK000005ncnl","Oregon State Bar","osbar.org"
"0012A00002UJFgL","Performance Foodservice","performancefoodservice.com"
"001F0000010dSvK","BAE Systems","baesystems.com"
"001F000001jMaBR","ICA Gruppen","icagruppen.se"
"001VK00000dM7Nq","ECHO, Payments Simplified®","echohealthinc.com"
"001F0000017dcZL","Copenhagen Airports","cph.dk"
"0012A00002QrtLD","Etteplan","etteplan.com"
"001F000001BNzCC","L'Occitane","loccitane.com"
"001F000001meMgh","Scandic Hotels","scandichotels.com"
"001F0000010dTRr","CF Industries Holdings, Inc.","cfindustries.com"
"001VK00000XmggH","University of Chile","fen.uchile.cl"
"0012A00002aU2oz","Verisk Insurance Solutions","verisk.com"
"0013j00002yb70n","Controlant","controlant.com"
"0012A00002XQPw4","Acist Medical Systems","acist.com"
"0012A00002EHYCF","OneTrust","onetrust.com"
"0012A00001rJSlQ","e.l.f.","elfbeauty.com"
"001F0000010dSk9","HSBC","hsbc.com"
"001VK00000POhQP","HCSC Health Care Service Corporation","hcsc.com"
"001F0000010dTis","PPD","ppdi.com"
"0013j000034t3Vw","Cadence","cadence.care"
"0012A00002Bn0aM","Wabtec Corporation","wabteccorp.com"
"0013j00003JrBMZ","interface.ai","interface.ai"
"001F000001rrQxO","Solace","solace.com"
"0013j00002cTZRw","Virginia Information Technologies Agency","virginia.gov"
"001VK00000kGDGk","Chalkboard","chalkboard.io"
"0012A00002UImXg","SapientRazorfish","sapientrazorfish.com"
"001F000001rq5aQ","Airwallex","airwallex.com"
"0013j00002ycAPg","Weber Shandwick","ipgdxtrahealth.com"
"0013j00002cTwti","Alstom Power","alstom.com"
"001F000000j7F5P","SoftwareONE","softwareone.com"
"0013j00002yc7qK","La Redoute","laredoute-corporate.com"
"0013j000034sCJA","Boomy Corporation","boomy.com"
"0013j00002ybxHr","Children's Services Council of Palm Beach County","cscpbc.org"
"001VK00000AxrSM","Bloomberg Philanthropies","bloomberg.org"
"0013j00002cRcje","American Psychological Association","apa.org"
"001F000001AEk6e","TOEFL","ets.org"
"001F000001jNdvs","Bain & Company","bain.com"
"0012A00002Z1bBM","Vital Proteins","vitalproteins.com"
"0013j00002ycJlP","DOVISTA A/S","dovista.com"
"0012A00002VAY0s","Whoop","whoop.com"
"001F0000010dTpw","United Rentals","unitedrentals.com"
"001F000001o2rzy","Superdry","superdry.com"
"0013j000037iOCq","Imperial Dade","imperialdade.com"
